325,Jiading,Zhaofeng Road,31.2909,121.1454
326,Jiading,Guangming Road,31.2981,121.1125
327,Jiading,Huaqiao,31.3006,121.0998
328,Pudong,Jinhai Road,31.2634,121.6385
329,Pudong,Shenjiang Road,31.28,121.626
330,Pudong,Jinjing Road,31.2797,121.6154
331,Pudong,North Yanggao Road,31.2801,121.6031
332,Pudong,Jufeng Road,31.2828,121.584
333,Pudong,Donglu Road,31.2823,121.5789
334,Yangpu,Fuxing Island,31.2806,121.561
335,Yangpu,Aiguo Road,31.2797,121.5526
336,Yangpu,Longchang Road,31.2754,121.5448
337,Yangpu,Ningguo Road,31.2688,121.5327
338,Yangpu,Jiangpu Park,31.2645,121.5237
339,Yangpu,Dalian Road,31.258221,121.513837
340,Hongkou,Tilanqiao,31.2535,121.5066
341,Hongkou,International Cruise Terminal,31.25194,121.49361
342,Hongkou,Tiantong Road,31.24528,121.47722
343,Jing'an,Qufu Road,31.2447,121.467
344,Jing'an,Hanzhong Road,31.241883,121.458699
345,Jing'an,West Nanjing Road,31.229853,121.459971
346,Huangpu,South Shaanxi Road,31.217863,121.46102
347,Xuhui,Jiashan Road,31.2027,121.461
348,Xuhui,Damuqiao Road,31.194439,121.463403
349,Xuhui,Middle Longhua Road,31.185,121.453
350,Xuhui,Longhua,31.1724,121.4524
351,Xuhui,Longcao Road,31.170072,121.444115
352,Xuhui,Caobao Road,31.168344,121.433143
353,Xuhui,Guilin Park,31.16917,121.41528
354,Xuhui,Hongcao Road,31.16583,121.40583
355,Xuhui,Hongmei Road,31.16194,121.39111
356,Minhang,Donglan Road,31.1575,121.38722
357,Minhang,Gudai Road,31.14278,121.3875
358,Minhang,Hongxin Road,31.13972,121.37611
359,Minhang,Qixin Road,31.13306,121.3575
360,Jiading,Jinyun Road,31.243025,121.315
361,Jiading,West Jinshajiang Road,31.243089,121.33066
362,Jiading,Fengzhuang,31.2434472,121.3510472
363,Putuo,South Qilianshan Road,31.2395103,121.3627051
364,Putuo,Zhenbei Road,31.2487167,121.384125
365,Putuo,Daduhe Road,31.234454,121.375676
366,Putuo,Jinshajiang Road,31.232229,121.413348
367,Putuo,Longde Road,31.229601,121.42128
368,Putuo,Wuning Road,31.2358,121.4258
369,Putuo,Changshou Road,31.24194,121.43333
370,Putuo,Jiangning Road,31.24611,121.44
371,Jing'an,Hanzhong Road,31.241883,121.458699
372,Jing'an,Shanghai Natural History Museum,31.23833,121.45778
373,Jing'an,West Nanjing Road,31.229853,121.459971
374,Huangpu,Middle Huaihai Road,31.22194,121.45972
375,Huangpu,Xintiandi,31.21833,121.47
376,Huangpu,Madang Road,31.2114,121.472
377,Huangpu,World Expo Museum,31.19944,121.47722
378,Pudong,Shibo Avenue,31.185,121.47917
379,Pudong,Changqing Road,31.1772,121.483
380,Pudong,Chengshan Road,31.1722,121.491
381,Pudong,Dongming Road,31.175,121.50611
382,Pudong,Huapeng Road,31.1787,121.5226
383,Pudong,Xianan Road,31.1815,121.5361
384,Pudong,Beicai,31.1824,121.5479
385,Pudong,Chenchun Road,31.1771,121.5539
386,Pudong,Lianxi Road,31.1713,121.562
387,Pudong,Middle Huaxia Road,31.177873,121.578874
388,Pudong,Zhongke Road,31.181,121.5964
389,Pudong,Xuelin Road,31.1858,121.6104
390,Pudong,Zhangjiang Road,31.1914,121.6258
391,Pudong,Longyang Road,31.203147,121.556862
392,Pudong,Middle Huaxia Road,31.177873,121.578874
393,Pudong,Luoshan Road,31.1521,121.5937
394,Pudong,East Zhoupu,31.109,121.6064
395,Pudong,Heshahangcheng,31.0774,121.6097
396,Pudong,East Hangtou,31.054,121.617
397,Pudong,Xinchang,31.0449,121.648
398,Pudong,Wild Animal Park,31.049,121.709
399,Pudong,Huinan,31.0534,121.7621
400,Pudong,East Huinan,31.0268,121.794
401,Pudong,Shuyuan,30.9595,121.85
402,Pudong,Lingang Avenue,30.9242,121.91
403,Pudong,Dishui Lake,30.9071,121.9297
404,Minhang,Hongqiao Railway Station,31.193987,121.31891
405,Qingpu,Zhuguang Road,31.193939,121.287969
406,Qingpu,Panlong Road,31.188402,121.273932
407,Qingpu,Xuying Road,31.180108,121.249535
408,Qingpu,Xujingbeicheng,31.177549,121.237261
409,Qingpu,Middle Jiasong Road,31.166114,121.219458
